BE_LiST22-0458,온누리구인당약국,강남구 남부순환로 3032(한보미도종합상가 110호),서울특별시,강남구,대치2동,552-5550,영어,0,0
BE_LiST22-0459,화일약국,강남구 선릉로 328(대치동),서울특별시,강남구,대치4동,"362-8631,2",영어,127.051898418,37.4990324208
BE_LiST22-0460,강남보선약국,"강남구 도곡로 516(대치동, 삼성상가 107호)",서울특별시,강남구,대치2동,568-2310,영어,127.062990229,37.4991820003
BE_LiST22-0461,한티약국,"강남구 선릉로 225(도곡동, 도곡렉슬상가 지하1층 133호)",서울특별시,강남구,도곡2동,574-2575,영어,127.052723648,37.4953703652
BE_LiST22-0462,사랑플러스약국,"강남구 선릉로 225(도곡동, 도곡렉슬상가 313호)",서울특별시,강남구,도곡2동,2058-2745,영어,127.052723648,37.4953703652
BE_LiST22-0463,연우약국,"강남구 도곡로 242(도곡동, 삼호상가 102호)",서울특별시,강남구,도곡1동,557-8672,영어,127.046579974,37.4937186987
BE_LiST22-0464,강남조은약국,"강남구 남부순환로 2633(도곡동, 호림빌딩)",서울특별시,강남구,도곡1동,571-9515,영어,127.03777361,37.4853676995
BE_LiST22-0465,참좋은약국,"강남구 테헤란로87길 17(삼성동, 마젤란21상가 103호)",서울특별시,강남구,삼성1동,508-1363,영어,127.05834295,37.5087422522
BE_LiST22-0466,삼성건강약국,강남구 삼성로 670(삼성동),서울특별시,강남구,개포2동,517-3520,영어,0,0
BE_LiST22-0467,팜메이트선능수정약국,강남구 선릉로 510(삼성동),서울특별시,강남구,삼성2동,558-8025,영어,127.048948562,37.5051713309
BE_LiST22-0468,강남우리온누리약국,"강남구 테헤란로 403(삼성동, 리치타워빌딩)",서울특별시,강남구,삼성2동,572-1452,영어,127.049509468,37.5050846006
BE_LiST22-0469,삼성일신약국,강남구 테헤란로 421(삼성동),서울특별시,강남구,삼성2동,538-1018,영어,127.052532061,37.5059879043
BE_LiST22-0470,소망약국,"강남구 테헤란로87길 13(삼성동, 서영빌딩)",서울특별시,강남구,삼성1동,555-6806,영어,127.058591692,37.5086340085
BE_LiST22-0471,옵티마대영약국,"강남구 삼성로 642(삼성동, 삼성빌딩)",서울특별시,강남구,삼성1동,514-7850,영어,127.051322934,37.5174023576
BE_LiST22-0472,수서약국,"강남구 광평로56길 11(수서동, 도시개발(아)6단지상가 109호)",서울특별시,강남구,수서동,459-2293,중국어,127.105631377,37.4879790846
BE_LiST22-0473,코스모스약국,"강남구 강남대로 626(신사동, 뮤직메트로빌딩)",서울특별시,강남구,신사동,515-3555,영어,127.019501256,37.5177038233
BE_LiST22-0474,가나안약국,강남구 도산대로 113(신사동),서울특별시,강남구,신사동,549-8774,영어,127.020849411,37.5170152264
BE_LiST22-0475,태양약국,"강남구 압구정로 150(신사동, 신운빌딩)",서울특별시,강남구,신사동,3442-4492,영어,127.025336122,37.5253576357
BE_LiST22-0476,압구정미약국,강남구 논현로175길 25(신사동),서울특별시,강남구,신사동,548-0085,영어,127.026648433,37.5254366351
BE_LiST22-0477,압구정온누리약국,"강남구 압구정로 164(신사동, 아세아빌딩)",서울특별시,강남구,신사동,514-0777,영어,127.027648889,37.5265320237
BE_LiST22-0478,압구정프라자온누리약국,"강남구 논현로 857(신사동, 계룡빌딩)",서울특별시,강남구,신사동,511-3801,영어,127.028100963,37.5253461982
BE_LiST22-0479,비원약국,"강남구 논현로 824, 1층 일부(신사동)",서울특별시,강남구,압구정동,541-6939,영어,127.028543146,37.5219907589
BE_LiST22-0480,메디팜압구정약국,"강남구 논현로160길 13(신사동, 명진빌딩)",서울특별시,강남구,압구정동,547-7585,영어,127.029104534,37.5227618802
BE_LiST22-0481,하나약국,"강남구 압구정로 224(신사동, 우미빌딩 207호)",서울특별시,강남구,압구정동,543-6650,영어,127.032147796,37.528563545
BE_LiST22-0482,예스약국,"강남구 언주로 865(신사동, 태승빌딩)",서울특별시,강남구,압구정동,3445-8214,영어,127.033224465,37.5277631574
BE_LiST22-0483,압구정늘푸른약국,"강남구 압구정로 306(신사동, 반도상가 )",서울특별시,강남구,압구정동,516-8753,영어,127.034754509,37.5288547312
BE_LiST22-0484,압구정약국,강남구 선릉로 845(신사동),서울특별시,강남구,압구정동,543-0701,영어,127.040333557,37.5275915552
BE_LiST22-0320,산들약국,서대문구 통일로 356 (홍제동),서울특별시,서대문구,홍제2동,02-723-9887,영어,126.950684059,37.5821886032
BE_LiST22-0321,서울솔약국,서대문구 통일로 452 (홍제동),서울특별시,서대문구,홍제3동,02-998-9310,영어,126.944039988,37.5891521177
BE_LiST22-0322,한미약국,서대문구 수색로 30 (남가좌동),서울특별시,서대문구,남가좌1동,02-375-3548,중국어,126.915285298,37.569374388
BE_LiST22-0323,연희종로약국,서대문구 연희로 109 (연희동),서울특별시,서대문구,연희동,02-3141-4040,영어,126.931373938,37.5677918765
BE_LiST22-0324,푸른약국,서대문구 거북골로 67 (남가좌동),서울특별시,서대문구,남가좌2동,02-373-0547,영어,126.921162897,37.5774477676
BE_LiST22-0325,일심약국,서대문구 연세로 42 (창천동),서울특별시,서대문구,신촌동,02-392-3333,영어,126.937122223,37.5592428214
BE_LiST22-0326,마리약국,"마포대로 109, 2층(공덕동, 롯데시티호텔)",서울특별시,마포구,아현동,6009-1166,"영어, 일어",126.950885015,37.5451180951
BE_LiST22-0327,옵티마강화약국,"서강로 137, 101호(노고산동)",서울특별시,마포구,서교동,337-6969,영어,0,0
BE_LiST22-0328,다나약국,"대흥로 186-2, 1층(대흥동)",서울특별시,마포구,대흥동,715-3133,"영어, 중국어",127.146985053,36.8045534896
BE_LiST22-0329,비타민약국,"백범로 90, 1층(대흥동, 동보빌딩)",서울특별시,마포구,대흥동,713-6563,영어,126.941531533,37.5478420589
BE_LiST22-0330,서광타워약국,"대흥로 182, 1층(대흥동)",서울특별시,마포구,대흥동,701-2141,영어,127.431877047,36.3252786117
BE_LiST22-0331,마포종로약국,"월드컵로 73, 1층(망원동)",서울특별시,마포구,망원1동,336-3496,영어,128.683651919,35.8360501849
BE_LiST22-0332,태평양약국,"홍익로 1, 1층(서교동)",서울특별시,마포구,서교동,322-8344,영어,126.924009005,37.5528416325
BE_LiST22-0333,우대약국,"만리재로 27, 1층(신공덕동)",서울특별시,마포구,공덕동,718-4897,영어,126.954279984,37.5447302267
BE_LiST22-0334,즐거운약국,"큰우물로 53, 106호(염리동, 마포네이버타운)",서울특별시,마포구,염리동,714-7588,영어,0,0
BE_LiST22-0335,메디팜신마포약국,"창전로 45, 103동 108호(창전동, 서강한화오벨리스크 단지내 상가)",서울특별시,마포구,서강동,324-4625,"영어, 중국어",126.932004194,37.5468638784
BE_LiST22-0336,신촌세민약국,"신촌로 78, 1층(노고산동)",서울특별시,마포구,서교동,323-0900,중국어,128.628105529,35.202740821
BE_LiST22-0337,현대메디칼약국,목1동 916 현대백화점 지하2층,서울특별시,양천구,목1동,2163~3968,영어,126.875036463,37.5268547779
BE_LiST22-0338,예인약국,신월7동 921-1,서울특별시,양천구,신월7동,2693~4373,영어,126.832952037,37.5228167209
BE_LiST22-0339,월드약국,목5동 907 현대월드타워상가1층,서울특별시,양천구,목5동,6678~2244,영어,126.878039905,37.5359868576
BE_LiST22-0340,가까운온누리,신정6동 321-6 센트럴프라자B(106),서울특별시,양천구,신정6동,2650-8828,영어,126.865496037,37.5174955003
BE_LiST22-0341,내외,신월4동 544-9,서울특별시,양천구,신월4동,2697-5065,영어,126.841789746,37.5183094636
BE_LiST22-0342,대우실로암,신월5동 18-4,서울특별시,양천구,신월5동,2602-6489,영어,126.83105885,37.5416521398
BE_LiST22-0343,마트온누리,목1동 962 목동트라팰리스(지하101),서울특별시,양천구,목1동,2651-3467,영어,126.870381516,37.5259956114
BE_LiST22-0344,메디팜삼성,목동917-7 홈플러스목동점(지하1층),서울특별시,양천구,목1동,2643-9685,영어,0,0
BE_LiST22-0345,문화,신월7동 986-4,서울특별시,양천구,신월7동,2602-5602,영어,126.835775738,37.5186292197
BE_LiST22-0346,수정,신정3동 1031-1,서울특별시,양천구,신정3동,2644-3395,영어,126.852892868,37.5208466208
BE_LiST22-0347,신월시장,신월1동 115-11,서울특별시,양천구,신월1동,2602-7613,영어,126.836679189,37.5317670716
BE_LiST22-0348,예인,신월7동 921-1,서울특별시,양천구,신월7동,2692-4373,영어,126.832952037,37.5228167209
BE_LiST22-0349,오렌지라임,신정4동 899-7,서울특별시,양천구,신정4동,2601-8557,영어,126.863779606,37.5283271807
BE_LiST22-0350,월드,목5동 907 현대월드타워상가(1층),서울특별시,양천구,목5동,6678-2244,영어,126.878039905,37.5359868576
BE_LiST22-0351,은혜,신정4동 908-15,서울특별시,양천구,신정4동,2698-1635,영어,126.858861165,37.5256328175
BE_LiST22-0352,제민,신월1동 229-3,서울특별시,양천구,신월1동,2603-3918,영어,126.836752727,37.5291722918
BE_LiST22-0353,청송온누리,목4동 739-1,서울특별시,양천구,목4동,2651-5319,영어,126.866339703,37.5391529218
BE_LiST22-0354,강서연세약국,화곡로 346  (화곡동),서울특별시,강서구,화곡6동,2606-1531,영어,126.852020938,37.55451048
BE_LiST22-0355,대현온누리약국,양천로 556  (등촌동) ,서울특별시,강서구,등촌1동,2668-2525,영어,126.860729041,37.557804305
BE_LiST22-0356,바이엘약국,화곡로 110 (화곡동),서울특별시,강서구,화곡1동,2607-0217,영어,126.8341408,37.539753599
BE_LiST22-0357,한빛약국,강서로62길 98  (등촌동),서울특별시,강서구,등촌3동,2658-7371,영어,126.845016558,37.5616986529
BE_LiST22-0358,부영약국,"강서로56나길 110  (등촌동, 부영아파트) ",서울특별시,강서구,등촌3동,3663-1809,영어,126.842839633,37.5635157864
BE_LiST22-0359,가양종로약국,양천로 460  (등촌동) ,서울특별시,강서구,등촌3동,2659-2356,영어,126.851701632,37.562586611
BE_LiST22-0360,연수당약국,강서로18길 26  (화곡동),서울특별시,강서구,화곡8동,2694-7582,영어,126.847151416,37.5338750142
BE_LiST22-0361,우리온누리약국,가로공원로76길 100  (화곡동),서울특별시,강서구,화곡1동,2692-7020,영어,126.838835581,37.5328224023
BE_LiST22-0362,21C세계로약국,화곡로 173  (화곡동) ,서울특별시,강서구,우장산동,2607-0624,영어/일어,126.840752905,37.5420476341
BE_LiST22-0363,제일메디칼약국,가로공원로 187  (화곡동),서울특별시,강서구,화곡1동,6402-3579,영어,126.83669868,37.5373569018
BE_LiST22-0364,국제공항약국,하늘길 38 (방화동),서울특별시,강서구,방화2동,2664-1350,일본어,126.803284874,37.569914836
BE_LiST22-0365,태평양약국,등촌로 41  (화곡동) ,서울특별시,강서구,화곡4동,2652-7214,영어,126.863353471,37.5337038607
BE_LiST22-0366,솔약국,양천로 564 (등촌동),서울특별시,강서구,등촌1동,3662-8899,영어,126.861332469,37.557087822
BE_LiST22-0367,예성약국,강서로 143  (화곡동),서울특별시,강서구,화곡1동,2699-9513,영어/일어,126.841563722,37.5396052155
BE_LiST22-0368,청와약국,구로구 디지털로27길 109 (가리봉동 89-163),서울특별시,구로구,가리봉동,855-1482,"중국어, 영어",126.888010055,37.484567419
BE_LiST22-0369,좋은약국,구로구 경인로40길 34 (개봉동 173-1),서울특별시,구로구,개봉1동,2615-6999,"중국어, 영어",126.858805,37.4953986667
BE_LiST22-0370,태영프라자약국,구로구 경인로59길 8 태영프라자 108호 (신도림동 437-1),서울특별시,구로구,신도림동,2068-5733,영어,126.883426348,37.5063925667
BE_LiST22-0371,열린약국,구로구 고척로 142-1 (고척동 253-194),서울특별시,구로구,고척2동,2625-6040,영어,126.84983887,37.5026461104
BE_LiST22-0372,구로프라자약국,구로구 개봉로 28 (개봉동 403-162),서울특별시,구로구,개봉3동,2613-6044,영어,126.856507304,37.4882310934
BE_LiST22-0373,한마을약국,구로구 경인로 382 한마을아파트상가 1-110호 (개봉동 476),서울특별시,구로구,개봉1동,2613-3006,영어,126.863082266,37.4963731839
BE_LiST22-0374,훼미리약국,구로구 고척로 139 (고척동 253-116),서울특별시,구로구,고척2동,2683-3785,영어,126.849282198,37.5027715422
BE_LiST22-0028,인제약국,종로 194 (종로4가),서울특별시,종로구,종로1.2.3.4가동,2266-4312,"영어,일어",126.999171403,37.5706337373
BE_LiST22-0029,정문약국,창경궁로 162-2 (원남동),서울특별시,종로구,종로1.2.3.4가동,765-7200,"영어,일어,중국어",126.997686073,37.5768902257
BE_LiST22-0030,제신약국,"종로 266, D동 (종로6가)",서울특별시,종로구,종로5.6가동,2279-7388,영어,127.007330602,37.5707055922
BE_LiST22-0031,종근당약국,종로 230-1 (종로5가),서울특별시,종로구,종로5.6가동,2274-1311,"영어,일어",127.003296284,37.5707814574
BE_LiST22-0032,종로백제약국,종로 235 (종로5가),서울특별시,종로구,종로5.6가동,745-8492,영어,127.003989072,37.5712607655
BE_LiST22-0033,종로프라자약국,자하문로 63 (옥인동),서울특별시,종로구,청운효자동,736-0806,영어,126.970591814,37.5815861699
BE_LiST22-0034,충신약국,율곡로 259 (충신동),서울특별시,종로구,종로5.6가동,762-9909,영어,127.006814727,37.574006869
BE_LiST22-0035,한독약국,동숭길 52 (동숭동),서울특별시,종로구,이화동,762-4636,영어,127.004437886,37.5805770328
BE_LiST22-0036,함춘약국,대학로 93 (연건동),서울특별시,종로구,이화동,741-0370,영어,128.610002538,35.8934603119
BE_LiST22-0037,세계약국,"남대문로 67,명동지하상가바-2 (남대문로2가)",서울특별시,중구,소공동,776-8000,"영어, 일본어, 중국어",126.981532651,37.5634855966
BE_LiST22-0038,서울약국,세종대로21길 63 (태평로1가),서울특별시,중구,명동,737-2636,영어,126.975817213,37.5691572349
BE_LiST22-0039,백조약국,세종대로21길 61 (태평로1가),서울특별시,중구,명동,738-8808,"영어, 일본어, 중국어",126.975885141,37.569121209
BE_LiST22-0040,인우약국,중구 중림로 21 (중림동),서울특별시,중구,중림동,392-7291,영어,126.966069025,37.5589807856
BE_LiST22-0041,남시약국,남대문로 18 (남대문로3가),서울특별시,중구,소공동,753-7466,"영어, 일본어",126.977744009,37.5607675375
BE_LiST22-0042,희구약국,남대문시장4길 35 (남창동),서울특별시,중구,회현동,752-0229,영어,126.977341759,37.5585329885
BE_LiST22-0043,새삼성약국,남대문로 16-1 (남대문로4가),서울특별시,중구,소공동,756-3301,엉어,126.977612719,37.5607639087
BE_LiST22-0044,서울왕약국,남대문로 22 (남대문로3가),서울특별시,중구,소공동,3789-7048,"영어, 일본어",126.978151438,37.5608469013
BE_LiST22-0045,남산우리약국,"소공로 35, 102호(회현동1가, 남산롯데캐슬아이리스)",서울특별시,중구,회현동,3789-7582,"영어, 중국어",0,0
BE_LiST22-0046,대우사약국,세종대로 22 (남대문로5가),서울특별시,중구,회현동,753-2703,영어,126.974290481,37.5585287595
BE_LiST22-0047,신우신약국,세종대로 12 (남대문로5가),서울특별시,중구,회현동,752-9086,영어,126.97371578,37.5578366671
BE_LiST22-0048,센츄럴팜약국,"한강대로 405 (봉래동2가, 경부고속철도서울민자역사)",서울특별시,용산구,남영동,393-5505,"영어, 일본어",126.969524971,37.5547290204
BE_LiST22-0049,새원약국,명동길 52 (명동2가),서울특별시,중구,명동,776-4476,"영어, 일본어, 중국어",129.167515641,35.3978586556
BE_LiST22-0050,연합약국,퇴계로 120 (남산동1가),서울특별시,중구,명동,778-3451,"영어, 일본어, 중국어",126.985078201,37.5605776809
BE_LiST22-0051,새충무약국,명동8가길 11 (충무로2가),서울특별시,중구,명동,776-4820,영어,126.985666497,37.5618643771
BE_LiST22-0052,푸른약국,명동8길 47 (충무로2가),서울특별시,중구,명동,775-7428,"영어, 일본어",126.985064403,37.5616624792
BE_LiST22-0053,유네스코약국,"명동길 26 , 402호(명동2가, 유네스코회관)",서울특별시,중구,명동,778-7880,영어,0,0
BE_LiST22-0054,명동중앙약국,"명동8나길 49, 102호 (충무로1가,동남빌딩A동)",서울특별시,중구,명동,777-0505,영어,0,0
BE_LiST22-0055,명동사랑약국,"퇴계로 109,1층102호 (충무로1가)",서울특별시,중구,명동,778-9975,영어,126.983864819,37.560952336
BE_LiST22-0056,오성약국,퇴계로41길 51 (인현동2가),서울특별시,중구,광희동,2279-5500,영어,126.995468015,37.5640996315
BE_LiST22-0057,성균제일약국,퇴계로48길 31 (묵정동),서울특별시,중구,필동,2269-6872,영어,127.0000996,37.5611840936
BE_LiST22-0058,신성약국,다산로 214 (신당동),서울특별시,중구,동화동,2273-1390,영어,127.015252628,37.5622498885
BE_LiST22-0059,하나약국,"무교로 32,408호 (무교동, 효령빌딩)",서울특별시,중구,명동,755-5155,영어,0,0
BE_LiST22-0060,을지수약국,마른내로 12 (저동2가),서울특별시,중구,을지로동,2275-2113,영어,126.989115917,37.5646073787
BE_LiST22-0061,필약국,"필동로 14, 103호 (필동2가, 대평빌딩)",서울특별시,중구,필동,2268-7552,영어,0,0
BE_LiST22-0062,지하근화사약국,"을지로 지하 131, 3-11 (을지로3가, 을지로3구역지하쇼핑)",서울특별시,중구,을지로동,2272-4986,영어,0,0
BE_LiST22-0063,장수약국,퇴계로86길 6 (신당동),서울특별시,중구,신당5동,2252-2929,영어,127.019599672,37.5652729907
BE_LiST22-0064,신라약국,남대문로9길 16 (다동),서울특별시,중구,명동,777-4826,영어,126.981549934,37.566837305
BE_LiST22-0065,보생당약국,퇴계로 192 (필동1가),서울특별시,중구,필동,2267-8830,중국어,128.733199223,36.574131617
BE_LiST22-0066,왕란약국,을지로44길 20 (광희동1가),서울특별시,중구,광희동,2267-1492,중국어,127.006383814,37.5652528211
BE_LiST22-0067,메디팜최약국,"용산구 청파로 324, 1층(청파동1가)",서울특별시,용산구,청파동,715-6009,영어,126.970247192,37.548577189
BE_LiST22-0068,명진당약국,용산구 청파로 387(서계동),서울특별시,용산구,청파동,717-5603,영어,126.968796343,37.5542458953
BE_LiST22-0069,소명약국,용산구 우사단로 43(이태원동),서울특별시,용산구,이태원1동,795-9954,영어,126.99543815,37.5341180005
BE_LiST22-0070,전약국,용산구 원효로25길 31(원효로4가),서울특별시,용산구,원효로2동,979-9834,영어,126.952581086,37.5328687913
BE_LiST22-0071,종로프라자약국,"용산구 한강대로23길 55, 지하2층 이마트내(한강로3가)",서울특별시,용산구,한강로동,2012-1276,영어,126.964742747,37.5297736038
BE_LiST22-0072,제일약국,용산구 대사관로60(한남동),서울특별시,용산구,한남동,792-8422,영어,127.004756399,37.5332710519
BE_LiST22-0073,현대온누리약국,용산구 이촌로280(이촌동),서울특별시,용산구,이촌1동,795-9842,영어,126.977869701,37.5184493907
BE_LiST22-0074,우리약국,"용산구 한강대로23길 55, 리빙관 6층 218호(한강로3가)",서울특별시,용산구,한강로동,2012-1507,영어,126.964742747,37.5297736038
BE_LiST22-0075,가장큰태평양약국,용산구 대사관로 52(한남동),서울특별시,용산구,한남동,790-3376,영어,127.003892013,37.5333179356
BE_LiST22-0076,공항약국,용산구 청파로 378 1층(동자동),서울특별시,용산구,남영동,313-2780,"영어, 일본어, 중국어",126.969366984,37.5536189503
BE_LiST22-0077,수약국,용산구 백범로 283(효창동),서울특별시,용산구,효창동,701-8224,영어,126.960872901,37.5396689775
BE_LiST22-0078,이촌프라자약국,"용산구 이촌로88길 3, 1층 12-2호(이촌동)",서울특별시,용산구,이촌1동,749-8686,영어,126.978693316,37.5180278726
BE_LiST22-0079,원효약국,"용산구 원효로 166, 103호(원효로2가, 원효아파트)",서울특별시,용산구,원효로1동,6407-7234,중국어,0,0
BE_LiST22-0080,하이약국,"용산구 한강대로 256, 1층(남영동, 수빌딩)",서울특별시,용산구,남영동,070-4122-1004,영어,126.97352697,37.5412870841
BE_LiST22-0081,금보약국,"용산구 원효로 51ㅡ 110호(산천동, 삼성테마트상가)",서울특별시,용산구,원효로2동,718-3673,영어,0,0
BE_LiST22-0082,밝은누리약국,용산구 녹사평대로 32길 47 지하1층(이태원동),서울특별시,용산구,이태원1동,792-2621,영어,126.990804059,37.532737397
BE_LiST22-0083,동부약국,용산구 이촌로 245(이촌1동),서울특별시,용산구,이촌1동,795-6242,일어,126.974425894,37.5199479645
BE_LiST22-0084,신금호약국,성동구 행당로 1(금호동1가),서울특별시,성동구,금호1가동,2282-5230,영어,127.020334817,37.554814094
BE_LiST22-0085,평안약국,성동구 고산자로6길 40(행당동),서울특별시,성동구,행당1동,2294-8111,영어,127.035483426,37.5582198876
BE_LiST22-0086,대학약국,성동구 사근동길 4(행당동),서울특별시,성동구,사근동,2293-0554,일본어,127.041582402,37.5599658314
BE_LiST22-0087,일진약국,성동구 용답중앙길 80-1(용답동),서울특별시,성동구,용답동,2245-3665,영어,127.054129248,37.5626673398
BE_LiST22-0088,영민약국,성동구 성수일로 10길 32(성수동2가),서울특별시,성동구,성수2가3동,466-1377,영어,127.053397661,37.546222663
BE_LiST22-0089,다나을약국,성동구 장터1길 2(금호동3가),서울특별시,성동구,금호2.3가동,2231-1703,영어,127.016942783,37.5486770297
BE_LiST22-0090,기린약국,성동구 독서당로 173(옥수동),서울특별시,성동구,옥수동,2299-8850,영어,127.010898836,37.5415634524
BE_LiST22-0091,유명한약국,성동구 독서당로 295-1(금호동3가),서울특별시,성동구,금호2.3가동,2238-9268,영어,127.021958087,37.548387884
BE_LiST22-0092,대중약국,성동구 왕십리로 379(하왕십리동),서울특별시,성동구,왕십리2동,2292-4418,영어,127.0281021,37.5645504761
BE_LiST22-0093,메디팜한솔약국,성동구 행당로 84(행당동),서울특별시,성동구,행당2동,2282-7948,영어,127.028746463,37.556567489
BE_LiST22-0094,명동온누리약국,"성동구 고산자로 164, 107호(행당동, 행당한신A)",서울특별시,성동구,행당1동,2281-7292,영어,0,0
BE_LiST22-0095,혜민약국,성동구 마조로 30(행당동),서울특별시,성동구,사근동,2293-2729,영어,127.041487512,37.5602938277
BE_LiST22-0096,정민약국,성동구 용답중앙 3나길 24(용답동),서울특별시,성동구,용답동,2212-8762,영어,127.050701004,37.5678369751
BE_LiST22-0097,제일약국,성동구 독서당로 378(응봉동),서울특별시,성동구,응봉동,2293-6946,영어,127.030540857,37.5496437701
BE_LiST22-0098,구내약국,광진구 워커힐로 177 (광장동),서울특별시,광진구,광장동,02-450-4759,"영어, 일본어",127.111706838,37.5586300824
BE_LiST22-0099,천사약국,"광진구 능동로 409, 1층 (중곡동)",서울특별시,광진구,중곡3동,02-463-9380,영어,127.083813983,37.5656088695
BE_LiST22-0100,동서울약국,"강변역로 50, 124호 (구의동)",서울특별시,광진구,구의3동,02-452-0015,영어,0,0
BE_LiST22-0101,삼성엠(M)약국,동대문구 왕산로 247-1(청량리동),서울특별시,동대문구,청량리동,967-3315,영어,127.048986167,37.5834249035
BE_LiST22-0102,세광약국,동대문구 왕산로 171(제기동),서울특별시,동대문구,제기동,962-8989,"영어,일어",127.042100434,37.5794848121
BE_LiST22-0103,복지약국,동대문구 천호대로 227(답십리동),서울특별시,동대문구,답십리1동,2217-3606,영어,127.048090267,37.5705374498
BE_LiST22-0104,참이화약국,"동대문구 천호대로 307,104호(답십리동,클래식타워)",서울특별시,동대문구,답십리1동,2247-5029,"영어,중국어",0,0
BE_LiST22-0105,장안평약국,동대문구 답십리로 304(장안동),서울특별시,동대문구,장안2동,2212-9430,영어,127.07421721,37.5718141408
BE_LiST22-0106,새이화약국,"동대문구 장한로 140, 1층(장안동)",서울특별시,동대문구,장안2동,2214-2488,"영어,스페인어",127.07215348,37.5728533663
BE_LiST22-0107,나나약국,동대문구 장한로18길 59(장안동),서울특별시,동대문구,장안2동,2245-2594,영어,127.072302606,37.5678617618
BE_LiST22-0108,동대문보건약국,동대문구 고산자로28가길 2(용두동),서울특별시,동대문구,용신동,965-7162,영어,127.040313815,37.5749696526
BE_LiST22-0109,동대문21세기약국,"동대문구 천호대로 13,지하1층(용두동,홈플러스)",서울특별시,동대문구,용신동,964-1717,영어,127.025103873,37.5749666589
BE_LiST22-0110,답십리백화점약국,동대문구 전농로 102(답십리동),서울특별시,동대문구,답십리2동,2215-9454,영어,127.05785497,37.573982077
BE_LiST22-0111,뉴메디칼약국,동대문구 전농로 147(전농동),서울특별시,동대문구,전농1동,2215-6291,영어,127.057269389,37.5779863816
BE_LiST22-0112,신행당약국,"동대문구 사가정로 148,3층(전농동, SK아파트스포츠상가 )",서울특별시,동대문구,전농2동,2212-1931,영어,127.06156565,37.5766579558
BE_LiST22-0113,은혜당약국,망우로32길 49,서울특별시,중랑구,면목2동,437-3337,영어,127.077389136,37.5916123354
BE_LiST22-0114,새봉화,신내로 211  금강리빙스텔203-A,서울특별시,중랑구,신내2동,3421-3383,일본어,127.092669373,37.6163497188
BE_LiST22-0115,건강제일온누리,동일로 786,서울특별시,중랑구,중화1동,491-1114,영어,127.046412499,37.7558879477
BE_LiST22-0116,이안온누리,면목로 305,서울특별시,중랑구,면목7동,493-5074,"영어,중국어",127.087438905,37.5796941942
BE_LiST22-0117,나을,동일로 608,서울특별시,중랑구,면목5동,433-4955,영어,127.080126314,37.5846440357
BE_LiST22-0118,태릉프라자,중랑역로 51,서울특별시,중랑구,중화2동,2208-0922,영어,127.076920541,37.598377285
BE_LiST22-0119,우리종로,용마산로 501,서울특별시,중랑구,망우본동,433-1100,영어,127.099904513,37.5958300854
BE_LiST22-0120,서울메디칼,"신내로16길 17 ,서울메디칼타워 103호",서울특별시,중랑구,신내1동,3422-5000,영어,127.097179045,37.6141765117
BE_LiST22-0121,운용약국,성북구 회기로 9 (종암동),서울특별시,성북구,종암동,912-3417,일본어,127.037673174,37.5914550991
BE_LiST22-0122,강원약국,성북구 아리랑로 117-7 (정릉동),서울특별시,성북구,정릉2동,914-8814,영어,127.013018595,37.6024777147
BE_LiST22-0123,서울고명약국,성북구 북악산로17길 2 (돈암동),서울특별시,성북구,돈암1동,923-6811,영어,127.020586815,37.5986780603
BE_LiST22-0124,알파약국,성북구 장위로42-1(장위동),서울특별시,성북구,성북동,918-7692,영어,127.041290879,37.6141300139
BE_LiST22-0125,온누리청수약국,성북구 보국문로 164 (정릉동),서울특별시,성북구,정릉4동,913-2328,영어,127.003234894,37.6170023365
BE_LiST22-0126,영생약국,성북구 종암로5길 26 선경A상가 1호(종암동),서울특별시,성북구,종암동,928-5777,영어,127.033929113,37.5947971124
BE_LiST22-0127,신선명약국,성북구 돌곶이로6길 22 (석관동),서울특별시,성북구,석관동,966-5913,영어,127.06317073,37.6059249325
BE_LiST22-0128,대림당약국,"성북구 길음로7길 31, ,75,76 (길음동)",서울특별시,성북구,길음1동,913-0832,영어,0,0
BE_LiST22-0129,자성약국,성북구 인촌로7라길 40 (안암동1가),서울특별시,성북구,안암동,928-8974,"영어,일본어",127.021684703,37.5890516679
BE_LiST22-0130,부산약국,성북구 장위로 124 (장위동),서울특별시,성북구,장위2동,915-4560,영어,127.05055064,37.613304709
BE_LiST22-0131,정릉약국,성북구 보국문로 45 (정릉동),서울특별시,성북구,정릉4동,914-3982,영어,127.009771535,37.6085434928
BE_LiST22-0132,대건약국,성북구 서경로 2 (정릉동),서울특별시,성북구,정릉1동,914-6815,영어,127.01496669,37.6039154643
BE_LiST22-0133,태명약국,성북구 장위로50길 66 (장위동),서울특별시,성북구,장위3동,915-1365,영어,127.058012687,37.6138382659
BE_LiST22-0134,남진약국,"성북구 길음로 20, 514동 515호(길음동, 길음뉴타운상가동)",서울특별시,성북구,길음1동,913-9270,영어,127.023039176,37.6047538874
BE_LiST22-0135,세종약국,성북구 보국문로 168 (정릉동),서울특별시,성북구,정릉4동,914-3685,영어,127.002886037,37.6171176721
BE_LiST22-0136,온누리자애약국,성북구 보문로23길 7 (보문동5가),서울특별시,성북구,보문동,926-6678,영어,127.019541192,37.5840461258
BE_LiST22-0137,인현약국,성북구 돌곶이로41길 33 (장위동),서울특별시,성북구,장위1동,918-7353,영어,127.046371711,37.6175987337
